,rmse_avg,rmse_std,mae_avg,mae_std,r2,r2_std,pc-er_avg,pc-er_std,doa,doa_std,rm,rm_std,d_in,num_responses,exec_time,exec_time_avg,exec_time_std
256,0.2757,0.0015,0.1978,0.0011,0.2927,0.0092,0.4769,0.0083,0.6522,0.0026,0.4846,0.0083,3.0,13.0,704.8091747760773,704.8091747760773,141.10265715964377
257,0.2764,0.0026,0.1991,0.0023,0.2894,0.0131,0.4753,0.0071,0.652,0.0022,0.4833,0.0064,3.0,14.0,701.7134652137756,701.7134652137756,140.04355713950375
258,0.2915,0.0023,0.2003,0.0012,0.2092,0.0155,0.4881,0.0086,0.6555,0.0027,0.4984,0.0091,4.0,5.0,335.0054247379303,335.0054247379303,67.50635859565726
259,0.2838,0.0009,0.1977,0.002,0.2507,0.0072,0.4838,0.0054,0.6544,0.0018,0.4938,0.0056,4.0,6.0,385.22407603263855,385.22407603263855,77.39879948416706
260,0.2839,0.0011,0.1953,0.0011,0.2501,0.0093,0.4851,0.0087,0.6549,0.0027,0.4951,0.0087,4.0,7.0,279.42784357070923,279.42784357070923,55.851925869588435
261,0.2815,0.0021,0.194,0.0013,0.2629,0.0132,0.4834,0.0087,0.654,0.0026,0.4936,0.0091,4.0,8.0,298.79330611228943,298.79330611228943,59.834243242805584
262,0.2801,0.0019,0.1935,0.0011,0.27,0.0117,0.4831,0.0077,0.6541,0.0024,0.4933,0.0081,4.0,9.0,286.375173330307,286.375173330307,57.53990641606057
263,0.2789,0.0016,0.1931,0.0015,0.2762,0.0114,0.481,0.0081,0.6538,0.0026,0.4912,0.0085,4.0,10.0,280.1527009010315,280.1527009010315,55.996100021666926
264,0.2756,0.0019,0.1953,0.0013,0.2935,0.013,0.4776,0.0075,0.6524,0.0022,0.4862,0.0069,4.0,11.0,569.1854219436646,569.1854219436646,113.98315474680832
265,0.2739,0.0015,0.1945,0.0016,0.3022,0.0099,0.4773,0.0081,0.6526,0.0025,0.4865,0.008,4.0,12.0,599.9158961772919,599.9158961772919,120.20409493017267
266,0.2743,0.0013,0.1945,0.001,0.2997,0.009,0.4774,0.0087,0.6527,0.0028,0.4864,0.0094,4.0,13.0,587.1015253067017,587.1015253067017,117.21733987979346
267,0.2745,0.0011,0.1935,0.0015,0.2991,0.0066,0.4785,0.0081,0.6531,0.0026,0.4882,0.0084,4.0,14.0,383.2819092273712,383.2819092273712,76.53591547475767
268,0.2915,0.003,0.2004,0.0021,0.2093,0.0196,0.4873,0.0083,0.655,0.0028,0.4972,0.0086,5.0,5.0,291.34714913368225,291.34714913368225,58.453711506298575
269,0.2872,0.0017,0.1973,0.0011,0.2328,0.0119,0.4875,0.0082,0.6549,0.0023,0.4977,0.0085,5.0,6.0,300.4128878116608,300.4128878116608,60.174740457761935
